t,S_h=5,I_h=5,R_h=5,S_h=2.5,I_h=2.5,R_h=2.5,S_h=1.25,I_h=1.25,R_h=1.25,S_h=0.625,I_h=0.625,R_h=0.625
0.0,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2
0.625,,,,,,,,,,0.4567109511082441,0.3044755478302551,0.23887056634650466
1.25,,,,,,,0.4207636707695958,0.3025808110234593,0.27671258349194877,0.4170086008440111,0.30557709967427615,0.27748430296687526
1.875,,,,,,,,,,0.3808347152993634,0.30359139895722154,0.31564935919588877
2.5,,,,0.3638783143953328,0.29010561052320377,0.34607314036646725,0.35425327211092156,0.2950710498857873,0.35074568148845364,0.3481306884581973,0.29886305511145156,0.3530846971859983
3.125,,,,,,,,,,0.3187665856290213,0.2917856948150276,0.38952800219005673
3.75,,,,,,,0.2997764223622527,0.2797628684763538,0.42053618261386716,0.2925502698761999,0.2827738262157914,0.4247574305510394
4.375,,,,,,,,,,0.269247943252128,0.27223740937151514,0.4585970642288839
5.0,0.2868519010233956,0.2565968756023037,0.4566082886593045,0.26820379089947405,0.2575702203811956,0.4742959922044929,0.255960760658057,0.2592060601139769,0.48491161998361326,0.2486040833964511,0.2605626628897736,0.49091633493603504
5.625,,,,,,,,,,0.23035758665332381,0.24809944649464233,0.5216265599581503
6.25,,,,,,,0.22111209640168977,0.2357403595659171,0.5432278266664989,0.21425352946813028,0.23515439752150388,0.5506760704851626
6.875,,,,,,,,,,0.20005095072329845,0.2219885775950006,0.5780447950621973
7.5,,,,0.2042398392214949,0.21520661480467396,0.5806290194263048,0.19354692656493974,0.21124703382109553,0.5952875662569959,0.187527411513736,0.2088183461331926,0.6037388327501908
8.125,,,,,,,,,,0.17648114160609543,0.19581833080328373,0.6277853397658448
8.75,,,,,,,0.1717712608758266,0.1870904222525437,0.6412207337241572,0.16673149533007336,0.18312559414325658,0.6502279090394381
9.375,,,,,,,,,,0.15811830176678604,0.1708443312312705,0.6711225236183515
10.0,0.17668309748304278,0.18467099922940328,0.6387159067727164,0.1622701334331822,0.17252248770452738,0.6652858196179376,0.15454268708209024,0.16416884766906725,0.6813715464711029,0.15050055138396704,0.15905064058689833,0.6905340999284125
10.625,,,,,,,,,,0.14375473555007873,0.14779707640496406,0.7085335965470964
11.25,,,,,,,0.1408668063414851,0.14300907854797212,0.7162077082166597,0.13777305420421768,0.1371168141948005,0.7251956412444516
11.875,,,,,,,,,,0.13246163042713754,0.12702734933162474,0.7405966181016954
12.5,,,,0.13470037706026924,0.13454337531581956,0.7308365302580171,0.1299649945623149,0.1238652438763024,0.74625375903618,0.12773881544929244,0.11753370633977943,0.7548131533894372
13.125,,,,,,,,,,0.12353362941326639,0.10863117323261919,0.7679209405869
13.75,,,,,,,0.12123450642275314,0.10680427679637065,0.7720455401613734,0.11978435779327722,0.10030759619780562,0.779993849365764
14.375,,,,,,,,,,0.11643730721070059,0.09254528028908814,0.7911032691485275
15.0,0.1227226325467774,0.12087635233302153,0.7564764885726747,0.11639511009166535,0.10303919555149439,0.7806472209998714,0.11421084486797739,0.09177259276403275,0.7941011527651101,0.11344571467484765,0.08532254526189001,0.8013176440814611
15.625,,,,,,,,,,0.11076879892877488,0.07861498491273455,0.8107021623868944
16.25,,,,,,,0.10853603121467294,0.07864483779535165,0.8129039431652001,0.10837094008066811,0.0723964750723773,0.8193185687675738
16.875,,,,,,,,,,0.10622097299574959,0.0666399709699335,0.8272250736730911
17.5,,,,0.10407531981100009,0.07799041589522743,0.8180166811462999,0.103933342893253,0.06725783388631522,0.8288938217332007,0.10429158029187721,0.061318129804643524,0.8344763377501608
18.125,,,,,,,,,,0.10255877174622073,0.05640378950548616,0.8411235136903142
18.75,,,,,,,0.10018782295281826,0.057433229767749006,0.8424641038958418,0.10100143817216464,0.051870330095703826,0.8472143309996494
19.375,,,,,,,,,,0.09960096917234651,0.04769193994576763,0.8527932120018293
20.0,0.09584277522230386,0.07536200215529489,0.8288736633780484,0.09567785857735008,0.05859783342655621,0.8458073892183539,0.0971314962020118,0.04899195539470273,0.8539618403025644,0.09834092550058618,0.043843805546864206,0.8579014097099728
20.625,,,,,,,,,,0.09720675800836455,0.04030224026939757,0.8625771601276394
21.25,,,,,,,0.09463224729890714,0.04176294094952446,0.8636902202537086,0.09618556627900565,0.03704476486023277,0.8668558431223096
21.875,,,,,,,,,,0.09526589105353177,0.03405015013676859,0.8707701473095129
22.5,,,,0.08989596654971915,0.043839297936517224,0.8663483286198803,0.09258547537182993,0.0355879416483947,0.8719120926232463,0.09443753542704882,0.03129843040790876,0.8743502354388438
23.125,,,,,,,,,,0.09369141055095227,0.028770894543605225,0.8776239076250335
23.75,,,,,,,0.09090782482832711,0.030323794440035374,0.8788539785920964,0.09301940222502185,0.026450060280393664,0.8806167604526877
24.375,,,,,,,,,,0.09241425531665513,0.024319636248811734,0.8833523405316324
25.0,0.08199348605773682,0.04590044277768873,0.87218635379868,0.08588825172907555,0.03273172549273069,0.881464020252991,0.08953245854909953,0.025843035850470653,0.8847101807789403,0.09186947341414918,0.022364475303043713,0.8858522915156845
25.625,,,,,,,,,,0.09137923151846496,0.02057052199158112,0.8881364939416676
26.25,,,,,,,0.08840547489104912,0.022033517947257136,0.8896467503944803,0.0909382999136719,0.01892475640265331,0.8902231975147714
26.875,,,,,,,,,,0.09054197763947755,0.017415136126306165,0.8921291456749993
27.5,,,,0.08310212170876266,0.024431755205390142,0.8925504464663443,0.08748317416138238,0.018797450293255673,0.8938051789022101,0.09018603422794406,0.01603053767658744,0.8938696924391789
28.125,,,,,,,,,,0.08986665856761374,0.01476069839581816,0.8954589116333515
28.75,,,,,,,0.08672995829839968,0.01605014923468025,0.8973057491152381,0.08958041392775117,0.013596159604610792,0.8969096987191932
29.375,,,,,,,,,,0.08932419831829258,0.012528211554688737,0.8982338654818391
30.0,0.07467578893616228,0.027701957645503303,0.8977037800613653,0.08116745528620618,0.01825758729348433,0.9006595478174295,0.0861167050340713,0.013718674862971356,0.9002505241211582,0.08909520948163906,0.011548840577186463,0.8994422278903081
30.625,,,,,,,,,,0.08889091391423,0.010650678689133988,0.9005446874698956
31.25,,,,,,,0.08561949985448064,0.011740467370831164,0.9027259790030937,0.08870901940189553,0.009826955818802274,0.901550306541873
31.875,,,,,,,,,,0.08854745062584574,0.009071454731202107,0.9024673776923481
32.5,,,,0.07983192600465486,0.01367679545856356,0.9065760907120062,0.08521863967367646,0.01006204858390157,0.904805295663043,0.08840432745792523,0.00837846867393574,0.9033034878314666
33.125,,,,,,,,,,0.08827794561621197,0.007742761717232358,0.9040655771980484
33.75,,,,,,,0.08489784439496478,0.00863782419958182,0.9065503490442293,0.08816675939665969,0.007159531727440241,0.904759993654694
34.375,,,,,,,,,,0.08806936623450093,0.006624375888120979,0.9053925426055004
35.0,0.07077906852282041,0.016713713250535504,0.9125896350791712,0.07892091584040453,0.010282454567555593,0.9108816281048087,0.08464362875204512,0.007429002751690597,0.9080134163429472,0.08798449288159028,0.006133258665256526,0.9059685328537007
35.625,,,,,,,,,,0.08791098301363788,0.00568248210136243,0.9064928187004864
36.25,,,,,,,0.08444479867926709,0.006402635079137124,0.9092386411836186,0.08784778610508355,0.005268658316222269,0.9069698385695505
36.875,,,,,,,,,,0.0877939474298118,0.004888684088485143,0.9074036504249081
37.5,,,,0.0783121040236534,0.007767838608654253,0.9140052139841014,0.08429204516843648,0.005530770706338018,0.9102632833927449,0.08774859906350822,0.004539717391665277,0.9077979642326645
38.125,,,,,,,,,,0.08771095177864009,0.004219155759479283,0.9081561717008031
38.75,,,,,,,0.08417761500079984,0.004789723390613682,0.9111187827285318,0.08768028773617377,0.003924616358414345,0.908481373515
39.375,,,,,,,,,,0.08765595388951408,0.0036539176495102308,0.9087764042729901
40.0,0.06873490324828521,0.010146795065476631,0.9212013829084981,0.07791898100194058,0.005903837777081887,0.9162624731202564,0.08409504252242386,0.004159436029364105,0.9118316622056369,0.08763735602602915,0.00340506252621858,0.9090438553052608
40.625,,,,,,,,,,0.08762395338011962,0.0031762228206055633,0.9092860955558552
41.25,,,,,,,0.08403893020777295,0.003622934383623606,0.9124242938140064,0.08761525375928873,0.0029657250758777357,0.9095052906838385
41.875,,,,,,,,,,0.08761080913122266,0.0027720374890722542,0.9097034205335865
42.5,,,,0.07767991606651706,0.0045203348300938105,0.9178851576055291,0.08400476845222367,0.0031658591520333265,0.9129155466572924,0.08761021162563201,0.0025937579336358886,0.909882295110422
43.125,,,,,,,,,,0.08761308990964249,0.002429602977427341,0.9100435691872659
43.75,,,,,,,0.08398878708179738,0.0027760664802085997,0.9133213349378081,0.0876191058999566,0.0022783978173439084,0.9101887556578953
44.375,,,,,,,,,,0.08762795177891375,0.002139067057245168,0.9103192377430008
45.0,0.06771488948041575,0.0062347327983139425,0.9261339708273867,0.07755076498934559,0.0034915013315348496,0.9190432433225904,0.08398783263552835,0.002443287792481963,0.9136550808457921,0.087639347285026,0.0020106262610880884,0.9104362801465511
45.625,,,,,,,,,,0.08765303725161966,0.0018921742181759813,0.910541039251938
46.25,,,,,,,0.08399926668464384,0.002158840743464866,0.9139281052914836,0.08766878936991686,0.0017828858621447947,0.9106345724399366
46.875,,,,,,,,,,0.08768639215529622,0.0016820057897579332,0.9107178466036793
47.5,,,,0.0774997875395891,0.002724490088120421,0.919861320232749,0.08402088139222333,0.001915384016910345,0.914149957548971,0.08770565309760503,0.0015888423297545301,0.9107917459295222
48.125,,,,,,,,,,0.0877263969783041,0.001502762115899791,0.9108570790068725
48.75,,,,,,,0.08405082925266871,0.0017067095959025912,0.9143286932485295,0.08774846433891918,0.0014231851220265113,0.9109145853247173
49.375,,,,,,,,,,0.08777171008679638,0.0013495801202434684,0.9109649412076802
50.0,0.06726634019697342,0.0039012777352416084,0.9289163795425818,0.07750410485685455,0.002150883479847992,0.9204306868418076,0.0840875645305141,0.0015275669619435996,0.9144711087404209,0.08779600222551454,0.001281460526629966,0.9110087652399323
