t,alpha=0.99,alpha=0.95,alpha=0.9,alpha=0.85,alpha=0.75,alpha=0.5,alpha=0.25,alpha=0.05,alpha=0.01
0.5,1.000086152953955,1.0017170272263314,1.005147543652291,1.0086292439599984,1.0130504369612185,1.0098890280532824,1.0029235718294218,1.0003020789765353,1.000051899216327
0.505,1.000086149026401,1.0017162658339676,1.005142701252505,1.0086168353390754,1.0130186934084284,1.0098403969944045,1.0029019320966523,1.0002992430066189,1.0000513913648859
0.51,1.0000861450925376,1.0017155113746758,1.0051379083560896,1.0086045620674395,1.0129873320701472,1.0097924763668893,1.0028806624444573,1.0002964611521612,1.0000508934048422
0.515,1.0000861411533628,1.0017147637283272,1.0051331640087302,1.0085924214140753,1.0129563447443384,1.0097452490411125,1.0028597530235124,1.0002937318661362,1.0000504050495371
0.52,1.0000861372098206,1.0017140227777992,1.0051284672829304,1.0085804107278564,1.012925723480714,1.0096986984601268,1.0028391943385135,1.000291053660166,1.000049926023291
0.525,1.0000861332628046,1.0017132884088773,1.0051238172770312,1.0085685274344918,1.0128954605707272,1.0096528086152832,1.00281897723221,1.0002884251017623,1.0000494560608828
0.53,1.0000861293131589,1.0017125605101593,1.005119213114267,1.0085567690336332,1.012865548538051,1.0096075640231048,1.0027990928703068,1.0002858448117204,1.0000489949070597
0.535,1.0000861253616835,1.0017118389729702,1.0051146539418765,1.0085451330960984,1.0128359801295206,1.0095629497033398,1.002779532727165,1.000283311461659,1.00004854231607
0.54,1.000086121409134,1.0017111236912772,1.0051101389302317,1.0085336172612303,1.012806748306502,1.009518951158132,1.0027602885722762,1.000280823771694,1.0000480980512283
0.545,1.0000861174562263,1.0017104145616043,1.0051056672720287,1.0085222192343775,1.0127778462366734,1.0094755543522278,1.0027413524574391,1.0002783805082422,1.0000476618844985
0.55,1.0000861135036374,1.001709711482955,1.005101238181497,1.0085109367844856,1.0127492672861889,1.0094327456941727,1.0027227167045967,1.0002759804819388,1.0000472335961035
0.555,1.0000861095520088,1.0017090143567329,1.0050968508936486,1.0084997677417995,1.0127210050122095,1.0093905120184308,1.0027043738943233,1.00027362254567,1.0000468129741538
0.56,1.0000861056019459,1.0017083230866763,1.0050925046635626,1.0084887099956654,1.0126930531557732,1.0093488405683744,1.0026863168548783,1.0002713055927108,1.000046399814297
0.5650000000000001,1.000086101654023,1.0017076375787792,1.005088198765696,1.0084777614924296,1.0126654056350017,1.0093077189801045,1.0026685386518288,1.0002690285549547,1.0000459939193853
0.5700000000000001,1.0000860977087829,1.0017069577412232,1.0050839324932228,1.0084669202334304,1.0126380565385973,1.009267135267037,1.0026510325781923,1.0002667904012428,1.000045595099161
0.5750000000000001,1.0000860937667388,1.001706283484319,1.0050797051574019,1.0084561842730784,1.0126110001196493,1.00922707780523,1.0026337921450663,1.0002645901357754,1.0000452031699565
0.58,1.000086089828376,1.0017056147204353,1.005075516086977,1.0084455517170143,1.0125842307897042,1.0091875353193966,1.0026168110727225,1.0002624267966054,1.0000448179544137
0.585,1.000086085894155,1.001704951363941,1.005071364627591,1.008435020720347,1.012557743113105,1.0091484968695776,1.0026000832821422,1.0002602994542076,1.0000444392812133
0.59,1.0000860819645092,1.001704293331147,1.0050672501412288,1.0084245894859722,1.0125315318015728,1.0091099518384228,1.0025836028869572,1.0002582072101234,1.0000440669848205
0.595,1.0000860780398497,1.0017036405402469,1.0050631720056884,1.0084142562629557,1.0125055917090278,1.0090718899190683,1.0025673641857826,1.000256149195667,1.0000437009052427
0.6,1.0000860741205648,1.001702992911264,1.0050591296140634,1.0084040193449786,1.0124799178266255,1.0090343011035534,1.0025513616549113,1.000254124570703,1.0000433408877998
0.605,1.0000860702070218,1.0017023503659992,1.0050551223742532,1.0083938770688605,1.0124545052780232,1.0089971756717744,1.0025355899413633,1.0002521325224767,1.0000429867829046
0.61,1.0000860662995679,1.0017017128279773,1.005051149708489,1.0083838278131296,1.0124293493148226,1.0089605041809206,1.0025200438562543,1.0002501722645079,1.0000426384458552
0.615,1.000086062398529,1.001701080222398,1.005047211052881,1.0083738699966638,1.0124044453122216,1.0089242774553902,1.0025047183684714,1.0002482430355335,1.0000422957366377
0.62,1.0000860585042155,1.0017004524760915,1.005043305856982,1.0083640020773714,1.0123797887648425,1.0088884865771433,1.0024896085986525,1.000246344098503,1.0000419585197364
0.625,1.0000860546169197,1.001699829517469,1.0050394335833635,1.0083542225509374,1.0123553752827268,1.0088531228764845,1.0024747098134323,1.0002444747396206,1.0000416266639565
0.63,1.0000860507369156,1.001699211276482,1.0050355937072184,1.0083445299496168,1.0123312005875085,1.0088181779232395,1.0024600174199507,1.0002426342674338,1.0000413000422506
0.635,1.0000860468644646,1.0016985976845731,1.0050317857159705,1.0083349228410634,1.012307260508723,1.0087836435183144,1.0024455269606114,1.0002408220119632,1.0000409785315583
0.64,1.0000860429998109,1.001697988674643,1.0050280091088994,1.0083253998272281,1.0122835509802892,1.0087495116856156,1.00243123410808,1.0002390373238736,1.0000406620126499
0.645,1.0000860391431858,1.001697384181003,1.0050242633967859,1.0083159595432778,1.0122600680371103,1.008715774664312,1.0024171346604942,1.0002372795736834,1.0000403503699784
0.65,1.0000860352948067,1.0016967841393423,1.0050205481015602,1.0083066006565637,1.0122368078118218,1.008682424901421,1.0024032245368941,1.0002355481510086,1.0000400434915386
0.655,1.0000860314548776,1.001696188486684,1.005016862755973,1.008297321865631,1.0122137665316682,1.0086494550447098,1.0023894997728486,1.000233842463844,1.0000397412687325
0.66,1.0000860276235901,1.0016955971613557,1.0050132069032736,1.0082881218992688,1.0121909405154987,1.0086168579358843,1.0023759565162724,1.0002321619378727,1.00003944359624
0.665,1.0000860238011262,1.001695010102948,1.0050095800968997,1.0082789995155856,1.0121683261708792,1.0085846266040628,1.0023625910234228,1.0002305060158114,1.000039150371897
0.67,1.0000860199876567,1.001694427252288,1.0050059819001793,1.0082699535011295,1.0121459199913196,1.0085527542595139,1.002349399655071,1.0002288741567795,1.000038861496577
0.675,1.0000860161833396,1.0016938485514022,1.005002411886049,1.0082609826700344,1.0121237185536036,1.0085212342876448,1.0023363788728308,1.0002272658357008,1.00003857687408
0.68,1.0000860123883235,1.0016932739434825,1.0049988696367702,1.0082520858632023,1.0121017185152237,1.0084900602432445,1.002323525235648,1.0002256805427268,1.0000382964110246
0.685,1.00008600860275,1.00169270337286,1.0049953547436643,1.0082432619475141,1.0120799166119077,1.008459225844938,1.0023108353964292,1.0002241177826894,1.0000380200167456
0.6900000000000001,1.0000860048267488,1.001692136784975,1.0049918668068545,1.008234509815064,1.0120583096552471,1.0084287249698807,1.002298306098822,1.000222577074574,1.0000377476031959
0.6950000000000001,1.0000860010604433,1.001691574126344,1.0049884054350213,1.0082258283824317,1.012036894530402,1.0083985516486382,1.0022859341741162,1.0002210579510162,1.0000374790848527
0.7000000000000001,1.0000859973039462,1.0016910153445384,1.0049849702451572,1.0082172165899717,1.012015668193903,1.0083687000602934,1.0022737165382776,1.0002195599578192,1.0000372143786276
0.705,1.0000859935573645,1.0016904603881505,1.0049815608623383,1.008208673401132,1.011994627671524,1.0083391645277202,1.0022616501891064,1.0002180826534939,1.0000369534037805
0.71,1.000085989820796,1.001689909206772,1.0049781769194994,1.0082001978017947,1.01197377005624,1.0083099395130513,1.0022497322035013,1.0002166256088152,1.0000366960818374
0.715,1.0000859860943339,1.0016893617509688,1.0049748180572176,1.0081917887996432,1.0119530925062525,1.0082810196133185,1.0022379597348412,1.000215188406398,1.0000364423365113
0.72,1.0000859823780615,1.0016888179722543,1.0049714839235058,1.0081834454235472,1.0119325922430928,1.008252399556253,1.002226330010465,1.000213770640291,1.0000361920936263
0.725,1.0000859786720588,1.0016882778230665,1.004968174173608,1.008175166722974,1.011912266549785,1.0082240741962554,1.0022148403292581,1.0002123719155875,1.0000359452810448
0.73,1.0000859749763973,1.0016877412567466,1.0049648884698061,1.0081669517674137,1.0118921127690812,1.0081960385105007,1.0022034880593265,1.0002109918480508,1.0000357018285992
0.735,1.000085971291144,1.0016872082275117,1.0049616264812327,1.0081587996458297,1.011872128301757,1.008168287595206,1.0021922706357682,1.0002096300637557,1.0000354616680236
0.74,1.0000859676163598,1.0016866786904388,1.0049583878836854,1.0081507094661266,1.011852310604962,1.008140816662021,1.0021811855585236,1.000208286198743,1.0000352247328905
0.745,1.0000859639521007,1.0016861526014433,1.0049551723594543,1.0081426803546312,1.0118326571906395,1.0081136210345627,1.002170230390321,1.00020695989869,1.000034990958549
0.75,1.0000859602984173,1.001685629917254,1.0049519795971469,1.0081347114555985,1.0118131656239846,1.0080866961450674,1.0021594027546814,1.000205650818593,1.0000347602820665
0.755,1.000085956655354,1.0016851105953977,1.0049488092915282,1.0081268019307326,1.0117938335219672,1.0080600375311723,1.002148700334021,1.000204358622462,1.000034532642171
0.76,1.0000859530229531,1.0016845945941772,1.00494566114336,1.0081189509587125,1.0117746585519038,1.0080336408328086,1.002138120867805,1.0002030829830264,1.000034307979197
0.765,1.0000859494012522,1.0016840818726584,1.0049425348592416,1.0081111577347468,1.011755638430072,1.0080075017892005,1.0021276621507902,1.0002018235814547,1.0000340862350332
0.77,1.000085945790283,1.001683572390644,1.0049394301514645,1.0081034214701465,1.0117367709203786,1.0079816162359847,1.002117322031315,1.000200580107083,1.0000338673530726
0.775,1.0000859421900747,1.0016830661086598,1.0049363467378707,1.0080957413918905,1.011718053833068,1.007955980102419,1.0021070984096658,1.000199352257155,1.000033651278164
0.78,1.0000859386006522,1.0016825629879367,1.0049332843417031,1.0080881167422269,1.0116994850234722,1.007930589408696,1.0020969892364961,1.0001981397365696,1.000033437956564
0.785,1.0000859350220375,1.0016820629903989,1.004930242691479,1.0080805467782752,1.0116810623908097,1.0079054402633436,1.0020869925113072,1.0001969422576429,1.0000332273358947
0.79,1.0000859314542478,1.0016815660786433,1.0049272215208505,1.0080730307716426,1.0116627838770145,1.007880528860724,1.0020771062809806,1.0001957595398734,1.0000330193650993
0.795,1.000085927897299,1.001681072215924,1.0049242205684834,1.008065568008059,1.0116446474656073,1.0078558514786153,1.0020673286383701,1.0001945913097192,1.0000328139944004
0.8,1.0000859243512004,1.001680581366139,1.0049212395779301,1.008058157787014,1.0116266511806078,1.0078314044758736,1.0020576577209326,1.000193437300385,1.0000326111752609
0.805,1.0000859208159616,1.001680093493811,1.0049182782975072,1.008050799421416,1.0116087930854738,1.007807184290176,1.0020480917094219,1.000192297251611,1.0000324108603453
0.81,1.0000859172915895,1.0016796085640807,1.0049153364801853,1.0080434922372463,1.0115910712820797,1.0077831874358407,1.0020386288266194,1.0001911709094782,1.0000322130034827
0.8150000000000001,1.0000859137780858,1.0016791265426854,1.0049124138834706,1.0080362355732426,1.0115734839097255,1.0077594105017216,1.0020292673361086,1.0001900580262122,1.000032017559631
0.8200000000000001,1.0000859102754531,1.0016786473959514,1.0049095102693009,1.0080290287805782,1.0115560291441776,1.0077358501491698,1.0020200055411013,1.000188958359999,1.0000318244848432
0.8250000000000001,1.0000859067836865,1.0016781710907763,1.004906625403932,1.0080218712225568,1.0115387051967422,1.007712503110065,1.0020108417832936,1.000187871674808,1.0000316337362332
0.8300000000000001,1.000085903302784,1.0016776975946209,1.0049037590578431,1.008014762274318,1.0115215103133628,1.0076893661849133,1.0020017744417709,1.000186797740218,1.0000314452719457
0.835,1.0000858998327384,1.0016772268754888,1.0049009110056268,1.0080077013225428,1.0115044427737507,1.0076664362410002,1.0019928019319435,1.0001857363312512,1.0000312590511236
0.84,1.0000858963735422,1.0016767589019249,1.0048980810259034,1.0080006877651844,1.0114875008905335,1.0076437102106164,1.0019839227045257,1.0001846872282143,1.000031075033879
0.845,1.0000858929251824,1.0016762936429953,1.0048952689012198,1.0079937210111867,1.0114706830084492,1.0076211850893284,1.001975135244541,1.000183650216542,1.0000308931812656
0.85,1.000085889487649,1.0016758310682783,1.0048924744179561,1.0079868004802306,1.0114539875035378,1.0075988579343118,1.001966438070367,1.0001826250866497,1.0000307134552497
0.855,1.000085886060927,1.0016753711478585,1.004889697366242,1.0079799256024677,1.0114374127823822,1.00757672586274,1.0019578297328111,1.0001816116337883,1.0000305358186843
0.86,1.0000858826449999,1.001674913852302,1.0048869375398695,1.0079730958182844,1.0114209572813542,1.007554786050213,1.0019493088142184,1.0001806096579058,1.000030360235283
0.865,1.0000858792398497,1.001674459152663,1.0048841947362042,1.0079663105780579,1.0114046194658948,1.0075330357292516,1.0019408739276017,1.0001796189635122,1.000030186669596
0.87,1.0000858758454585,1.0016740070204622,1.004881468756111,1.007959569341917,1.0113883978298128,1.007511472187824,1.0019325237158128,1.0001786393595509,1.000030015086985
0.875,1.0000858724618047,1.0016735574276807,1.0048787594038668,1.0079528715795225,1.0113722908945988,1.0074900927679322,1.001924256850728,1.0001776706592735,1.0000298454536014
0.88,1.000085869088868,1.0016731103467515,1.0048760664870928,1.0079462167698428,1.0113562972087662,1.0074688948642319,1.001916072032471,1.000176712680118,1.0000296777363622
0.885,1.0000858657266236,1.0016726657505464,1.0048733898166702,1.0079396044009408,1.0113404153472052,1.007447875922699,1.0019079679886556,1.0001757652435912,1.0000295119029305
0.89,1.0000858623750493,1.0016722236123679,1.0048707292066759,1.007933033969767,1.0113246439105694,1.0074270334393391,1.0018999434736482,1.0001748281751572,1.000029347921693
0.895,1.0000858590341157,1.0016717839059415,1.004868084474303,1.007926504981956,1.0113089815246574,1.0074063649589322,1.0018919972678666,1.0001739013041282,1.0000291857617403
0.9,1.0000858557037984,1.0016713466054066,1.0048654554398015,1.0079200169516311,1.0112934268398341,1.00738586807382,1.001884128177089,1.0001729844635574,1.0000290253928479
0.905,1.0000858523840666,1.0016709116853078,1.0048628419264032,1.0079135694012138,1.0112779785304575,1.007365540422726,1.0018763350317916,1.000172077490137,1.0000288667854564
0.91,1.0000858490748927,1.0016704791205848,1.0048602437602618,1.0079071618612345,1.0112626352943233,1.0073453796896148,1.0018686166865056,1.000171180224101,1.0000287099106546
0.915,1.0000858457762483,1.001670048886568,1.0048576607703876,1.007900793870158,1.0112473958521224,1.0073253836025842,1.0018609720191891,1.000170292509127,1.0000285547401604
0.92,1.0000858424881018,1.0016696209589673,1.0048550927885824,1.0078944649742052,1.0112322589469271,1.0073055499327856,1.0018533999306325,1.0001694141922455,1.0000284012463045
0.925,1.0000858392104204,1.0016691953138637,1.0048525396493877,1.0078881747271797,1.0112172233436716,1.0072858764933847,1.001845899343864,1.00016854512375,1.0000282494020143
0.93,1.0000858359431724,1.0016687719277093,1.0048500011900177,1.0078819226903093,1.0112022878286617,1.007266361138549,1.0018384692035878,1.00016768515711,1.0000280991807968
0.935,1.0000858326863222,1.0016683507773068,1.0048474772503055,1.0078757084320726,1.011187451209098,1.0072470017624626,1.0018311084756357,1.0001668341488865,1.000027950556724
0.9400000000000001,1.0000858294398403,1.0016679318398154,1.004844967672653,1.007869531528054,1.0111727123125973,1.007227796298371,1.0018238161464281,1.0001659919586512,1.000027803504418
0.9450000000000001,1.000085826203687,1.0016675150927374,1.0048424723019678,1.0078633915607793,1.0111580699867542,1.007208742717659,1.0018165912224644,1.0001651584489086,1.0000276579990353
0.9500000000000001,1.0000858229778307,1.001667100513911,1.0048399909856167,1.0078572881195762,1.011143523098678,1.0071898390289438,1.0018094327298175,1.0001643334850174,1.0000275140162547
0.9550000000000001,1.0000858197622338,1.0016666880815037,1.0048375235733733,1.0078512208004273,1.0111290705345826,1.0071710832772085,1.0018023397136502,1.0001635169351184,1.000027371532262
0.96,1.0000858165568602,1.0016662777740097,1.0048350699173678,1.0078451892058238,1.011114711199348,1.0071524735429456,1.0017953112377407,1.0001627086700642,1.0000272305237374
0.965,1.0000858133616732,1.0016658695702378,1.0048326298720358,1.0078391929446306,1.0111004440161366,1.0071340079413378,1.0017883463840311,1.000161908563345,1.0000270909678433
0.97,1.0000858101766334,1.001665463449311,1.004830203294075,1.0078332316319547,1.011086267925974,1.0071156846214526,1.0017814442521735,1.000161116491027,1.0000269528422105
0.975,1.0000858070017027,1.0016650593906573,1.004827790042399,1.0078273048890158,1.0110721818873736,1.0070975017654635,1.0017746039591104,1.0001603323316817,1.0000268161249282
0.98,1.0000858038368448,1.0016646573740038,1.0048253899780888,1.0078214123430096,1.0110581848759668,1.0070794575878952,1.0017678246386508,1.0001595559663283,1.0000266807945302
0.985,1.0000858006820215,1.0016642573793726,1.0048230029643477,1.0078155536269975,1.0110442758841214,1.0070615503348839,1.0017611054410627,1.0001587872783673,1.0000265468299854
0.99,1.0000857975371915,1.001663859387072,1.004820628866471,1.0078097283797747,1.0110304539206014,1.0070437782834618,1.0017544455326803,1.000158026153523,1.000026414210686
0.995,1.000085794402315,1.001663463377695,1.0048182675517863,1.0078039362457614,1.011016718010209,1.007026139740864,1.0017478440955259,1.0001572724797876,1.0000262829164368
1.0,1.0000857912773544,1.001663069332112,1.004815918889626,1.0077981768748763,1.011003067193452,1.007008633043847,1.0017413003269309,1.0001565261473617,1.0000261529274455
